ID,Title,Year,Age,Rotten Tomatoes
410,Cloudy with a Chance of Meatballs 2,2013,SU,72/100
411,Turbo,2013,SU,72/100
412,G.I. Joe: The Rise of Cobra,2009,13+,72/100
413,Horns,2013,17+,72/100
414,Drishyam,2015,17+,72/100
415,Triple Frontier,2019,17+,72/100
416,"Hail, Caesar!",2016,13+,72/100
417,The Ice Road,2021,13+,72/100
418,Monster House,2006,SU,72/100
419,Freaks,2019,17+,72/100
420,Felon,2008,17+,72/100
421,Horse Girl,2020,17+,72/100
422,A Christmas Prince,2017,SU,72/100
423,Hillbilly Elegy,2020,17+,72/100
424,American Ultra,2015,17+,72/100
425,First Match,2018,17+,72/100
426,The Tourist,2010,13+,72/100
427,The Dawn Wall,2017,17+,72/100
428,I'm Thinking of Ending Things,2020,17+,71/100
429,Shutter,2004,17+,71/100
430,Surf's Up,2007,SU,71/100
431,The Twilight Saga: Breaking Dawn - Part 2,2012,13+,71/100
432,Jagga Jasoos,2017,SU,71/100
433,The Burial of Kojo,2018,13+,71/100
434,Bee Movie,2007,SU,71/100
435,Seoul Searching,2015,17+,71/100
436,Before I Fall,2017,13+,71/100
437,The Babysitter,2017,17+,71/100
438,After,2019,13+,71/100
439,"As Above, So Below",2014,17+,71/100
440,Bo Burnham: What.,2013,17+,71/100
441,Stree,2018,13+,71/100
442,Velvet Buzzsaw,2019,17+,71/100
443,Savages,2012,17+,71/100
444,Jupiter Ascending,2015,13+,71/100
445,Spectral,2016,13+,71/100
446,Resident Evil: Afterlife,2010,17+,71/100
447,Accepted,2006,13+,71/100
448,"Live Twice, Love Once",2019,17+,71/100
449,Iliza Shlesinger: Elder Millennial,2018,17+,71/100
450,Zindagi Na Milegi Dobara,2011,SU,71/100
451,Free Fire,2017,17+,71/100
452,Soorma,2018,13+,71/100
453,The Zookeeper's Wife,2017,13+,71/100
454,Time Share,2018,17+,71/100
455,The Outpost,2019,17+,71/100
456,Kabir Singh,2019,21+,71/100
457,Homecoming: A Film by Beyonc√©,2019,13+,71/100
458,Jerry Seinfeld: 23 Hours to Kill,2020,SU,71/100
459,Ip Man 4: The Finale,2019,17+,71/100
460,The Laundromat,2019,17+,71/100
461,The 12th Man,2017,17+,71/100
462,Bad Trip,2020,17+,71/100
463,Mr. Peabody & Sherman,2014,SU,71/100
464,Ip Man 3,2015,13+,71/100
465,Rang De Basanti,2006,13+,71/100
466,The Midnight Sky,2020,13+,71/100
467,Mr. Right,2016,17+,71/100
468,Synchronic,2020,17+,71/100
469,Adrift,2018,13+,70/100
470,The Game Changers,2019,13+,70/100
471,Michelle Wolf: Joke Show,2019,21+,70/100
472,Da 5 Bloods,2020,17+,70/100
473,The American,2010,17+,70/100
474,The Best of Enemies,2019,13+,70/100
475,Forgotten,2017,17+,70/100
476,I Don't Feel at Home in This World Anymore,2017,17+,70/100
477,Never Back Down,2008,13+,70/100
478,Fear Street: 1666,2021,17+,70/100
479,Zathura: A Space Adventure,2005,SU,70/100
480,"Faith, Hope & Love",2019,SU,70/100
481,2 States,2014,SU,70/100
482,Grass is Greener,2019,13+,70/100
483,May the Devil Take You,2018,17+,70/100
484,Ava,2020,17+,70/100
485,Barfi!,2012,SU,70/100
486,Barry,2016,21+,70/100
487,Go!,2020,SU,70/100
488,Everybody's Fine,2009,13+,70/100
489,Parker,2013,17+,70/100
490,System Crasher,2019,17+,70/100
491,Brain on Fire,2017,13+,70/100
492,The Butterfly's Dream,2013,13+,70/100
493,The Wrong Missy,2020,17+,70/100
494,Battle: Los Angeles,2011,13+,70/100
495,Pari,2018,13+,70/100
496,The Beguiled,2017,17+,70/100
497,Batman: The Killing Joke,2016,17+,70/100
498,Sex Drive,2008,17+,70/100
499,Mosul,2020,17+,70/100
500,PokÈmon the Movie: The Power of Us,2018,SU,70/100
501,Underdogs,2013,SU,70/100
502,Fun with Dick and Jane,2005,13+,70/100
503,Ballerina,2016,SU,70/100
504,Hasan Minhaj: Homecoming King,2017,17+,70/100
505,An Easy Girl,2019,17+,70/100
506,Highway,2014,13+,70/100
507,The Book of Henry,2017,13+,70/100
508,Reversing Roe,2018,13+,70/100
509,The Clovehitch Killer,2018,13+,70/100
510,There's Something in the Water,2019,13+,70/100
511,Barakah Meets Barakah,2016,13+,70/100
512,Starsky & Hutch,2004,13+,70/100
513,Loving,2016,13+,70/100
514,Haider,2014,13+,70/100
